date_one,pad,delay,measured_by,date_two
Tue Jul 05 16:01:28 MDT 2022,E01,-5133.,VDHAWAN,Tue Jul 05 16:01:00 MDT 2022
Tue Jul 05 17:30:53 MDT 2022,E02,-6048.,VDHAWAN,Tue Jul 05 17:30:00 MDT 2022
Wed Jul 06 15:45:21 MDT 2022,E03,-5931,DEMOREST,Wed Jul 06 15:45:00 MDT 2022
Wed Dec 08 16:07:22 MST 2021,E04,-5605.3,VDHAWAN,Wed Dec 08 16:07:22 MST 2021
Mon Jul 11 13:30:28 MDT 2022,E05,-5110,DEMOREST,Mon Jul 11 13:30:00 MDT 2022
Wed Jul 13 14:50:01 MDT 2022,E06,-5890.,VDHAWAN,Wed Jul 13 14:50:00 MDT 2022
Tue Jul 19 15:43:05 MDT 2022,E07,-6050.,VDHAWAN,Tue Jul 19 15:43:00 MDT 2022
Wed Dec 01 17:27:38 MST 2021,E08,-6626.,VDHAWAN,Tue Nov 30 17:27:00 MST 2021
Tue Jul 12 13:58:35 MDT 2022,E09,-6968,DEMOREST,Tue Jul 12 13:58:00 MDT 2022
Thu Jun 03 15:17:13 MDT 2021,E10,-7425,VDHAWAN,Thu Jun 03 15:17:13 MDT 2021
Wed Dec 08 16:07:22 MST 2021,E12,-8990.9,VDHAWAN,Wed Dec 08 16:07:22 MST 2021
Wed Jun 02 15:37:40 MDT 2021,E14,-10118,VDHAWAN,Wed Jun 02 15:37:40 MDT 2021
Thu Dec 30 14:48:00 MST 2021,E16,-12130.,VDHAWAN,Thu Dec 30 14:48:00 MST 2021
Wed Jun 02 15:37:40 MDT 2021,E18,-13634,VDHAWAN,Wed Jun 02 15:37:40 MDT 2021
Wed Dec 08 16:07:22 MST 2021,E20,-15485.5,VDHAWAN,Wed Dec 08 16:07:22 MST 2021
Wed Dec 08 16:07:22 MST 2021,E24,-20139.1,VDHAWAN,Wed Dec 08 16:07:22 MST 2021
Wed Dec 08 16:07:22 MST 2021,E28,-25224.8,VDHAWAN,Wed Dec 08 16:07:22 MST 2021
Wed Dec 01 15:54:07 MST 2021,E32,-30336,VDHAWAN,Wed Dec 01 15:54:07 MST 2021
Wed Dec 01 16:04:20 MST 2021,E36,-36088.,VDHAWAN,Wed Dec 01 16:04:00 MST 2021
Tue Mar 15 15:04:09 MDT 2022,E40,-42520.0,DEMOREST,Tue Mar 15 15:04:00 MDT 2022
Thu Mar 03 15:10:01 MST 2022,E48,-56723.,VDHAWAN,Thu Mar 03 15:10:00 MST 2022
Wed Jul 24 13:59:28 MDT 2019,E56,-72561,VDHAWAN,Wed Jul 24 13:59:00 MDT 2019
Tue Mar 01 14:08:37 MST 2022,E64,-90740.,VDHAWAN,Tue Mar 01 14:08:00 MST 2022
Mon Feb 28 19:41:07 MST 2022,E72,-109800.,VDHAWAN,Sun Feb 27 19:41:00 MST 2022
Thu Jul 14 15:55:08 MDT 2022,MAS,-7590.,VDHAWAN,Thu Jul 14 15:55:00 MDT 2022
Mon Jul 18 12:21:04 MDT 2022,N01,-5065.,VDHAWAN,Mon Jul 18 12:21:00 MDT 2022
Mon Mar 15 15:25:53 MDT 2021,N02,-5347.,VDHAWAN,Mon Mar 15 15:25:00 MDT 2021
Thu Jul 21 14:50:12 MDT 2022,N03,-5760.,VDHAWAN,Thu Jul 21 14:50:00 MDT 2022
Thu Jul 14 15:05:19 MDT 2022,N04,-5970.,VDHAWAN,Thu Jul 14 15:05:00 MDT 2022
Wed Jul 20 14:03:16 MDT 2022,N05,-6411,DEMOREST,Wed Jul 20 14:03:00 MDT 2022
Fri Mar 19 17:54:10 MDT 2021,N06,-6544,VDHAWAN,Fri Mar 19 17:54:00 MDT 2021
